ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560
213773_x_at,8.7649,9.38855,10.296,10.1837,9.6495
213774_s_at,4.63788,4.94014,4.71367,4.97188,4.79672
213775_x_at,9.72794,9.92892,10.2039,10.1811,10.3324
213776_at,6.83638,6.26025,6.48599,7.04188,6.53279
213777_s_at,5.84243,5.85555,5.52469,5.23307,5.50677
213778_x_at,6.9342,7.79174,7.59269,6.96753,7.04188
213779_at,7.81555,8.04933,8.25293,8.07007,7.47322
213780_at,3.87633,4.3592,4.37918,4.54623,4.8407
213781_at,5.75414,5.84726,5.33672,5.71976,5.26098
213782_s_at,4.01584,3.73706,3.99667,3.6691,3.80048
213783_at,6.89167,6.63657,6.26692,6.34928,6.32155
213784_at,6.48154,6.83207,7.20422,7.05772,6.52715
213785_at,6.69794,6.57127,6.93173,7.57998,6.88692
213786_at,8.54696,7.72078,7.3721,9.03069,8.78722
213787_s_at,9.01065,8.7916,7.58429,9.20016,8.94618
213788_s_at,7.27998,8.18004,8.1194,6.77084,5.99777
213789_at,6.56602,6.82929,6.38745,6.77528,6.24105
213790_at,4.72097,4.78014,6.21045,4.89653,7.27214
213791_at,5.77257,6.81668,5.36524,10.5248,6.18649
213792_s_at,10.3472,8.03647,9.96568,9.05122,9.58894
213793_s_at,7.52238,8.85661,8.73314,7.88103,8.80371
213794_s_at,8.59599,9.44078,9.16904,9.00798,9.03002
213795_s_at,9.52165,8.50049,9.36865,8.47649,8.70839
213796_at,8.07649,4.06357,4.13299,4.62123,4.17631
213797_at,5.63427,7.03411,6.93275,6.49746,7.73855
213798_s_at,12.6345,12.1673,12.1619,11.8751,12.1887
213799_s_at,6.29522,6.25971,5.90828,5.98266,5.99585
213800_at,11.2765,9.56683,10.1356,11.591,10.8953
213801_x_at,13.4746,12.8586,13.4746,13.5859,13.3745
213802_at,6.91073,4.50684,4.51999,7.91377,6.0229
213803_at,8.37706,9.48015,8.93962,9.26991,9.27789
213804_at,6.7088,7.06789,8.10642,7.45215,7.44293
213805_at,5.8536,5.36359,5.39022,6.28345,6.03538
213806_at,5.69748,5.4113,5.73691,5.59192,5.2848
213807_x_at,7.41698,7.5062,6.98321,6.92095,6.41741
213808_at,3.66744,3.59139,4.96012,3.77756,4.10324
213809_x_at,6.64596,6.42259,6.23789,6.48376,6.33041
213810_s_at,4.75803,4.92268,4.82849,5.70009,5.82875
213811_x_at,9.28969,9.28268,9.66206,9.26733,9.91054
213812_s_at,10.3737,8.86009,9.73732,9.02806,9.02247
213813_x_at,8.45885,8.99071,8.61795,8.71538,9.09542
213814_s_at,3.95693,4.22923,4.23855,4.11923,4.14484
213815_x_at,6.84627,7.25964,7.60914,6.88871,7.02632
213816_s_at,4.95684,4.37892,4.15697,4.1724,4.35879
213817_at,8.48369,5.5927,8.6651,7.19266,6.41855
213818_x_at,5.7015,5.69105,5.72835,6.19246,6.2803
213819_s_at,5.79486,5.93636,5.47183,5.9856,6.2769
213820_s_at,6.85182,7.11733,6.82539,6.96422,7.52253
213821_s_at,5.09493,5.10795,5.07832,5.20328,5.08504
213822_s_at,7.88173,6.40287,6.1914,8.09453,7.84904
213823_at,5.9388,6.18965,6.17633,6.12179,6.36799
213824_at,5.1258,5.42909,5.28733,5.46081,5.08514
213825_at,4.47848,4.89645,5.02946,4.71664,4.52648
213826_s_at,7.99877,7.6236,7.07338,7.75936,7.65671
213827_at,6.88012,7.4132,7.75478,7.12987,7.31336
213828_x_at,14.1772,13.9837,13.4254,14.1206,13.9133
213829_x_at,7.33441,7.48854,7.1609,7.18957,7.1622
213830_at,6.40111,6.62158,6.73309,6.24956,6.24095
213831_at,4.53183,4.71049,12.046,5.12379,5.35633
213832_at,6.80125,6.69515,6.62596,8.35066,6.95422
213833_x_at,5.85434,6.28387,5.89961,5.92888,6.14575
213834_at,5.63116,5.7291,6.14832,5.15731,5.58834
213835_x_at,7.32456,8.00497,8.2028,7.58061,8.00311
213836_s_at,9.03934,8.91633,9.24664,8.6878,9.45277
213837_at,6.36688,6.51208,6.56651,6.29284,6.59745
213838_at,9.00875,8.47932,7.73386,8.88392,8.51051
213839_at,8.29683,4.83028,8.27166,6.95,7.33047
213840_s_at,6.03712,6.16653,5.97888,6.14473,6.37842
213841_at,5.0387,4.8215,5.52178,4.74677,5.27017
213842_x_at,8.32998,9.28994,10.39,10.3856,9.51397
213843_x_at,8.41731,6.65847,6.23843,7.02617,8.49077
213844_at,8.21541,7.07635,9.66115,7.18361,6.98941
213845_at,4.88636,4.82716,5.26321,5.59139,5.10775
213846_at,9.74023,9.34088,9.23878,9.62381,9.61843
213847_at,7.67855,7.57254,7.98251,7.34963,7.22807
213848_at,7.3165,7.08529,8.0454,7.31416,8.06477
213849_s_at,4.52677,4.5203,5.07488,4.71956,4.82551
213850_s_at,8.42648,8.73528,8.68952,10.206,9.41104
213851_at,7.23504,7.61145,7.17551,7.4638,8.22948
213852_at,10.5227,10.4144,9.44959,10.5576,10.1091
213853_at,8.0184,7.98907,8.43741,8.11923,8.49436
213854_at,6.622,6.80397,6.20531,6.93393,6.58874
213855_s_at,5.28646,4.91921,4.96752,5.22974,5.19166
213856_at,4.04904,5.93123,4.72687,4.6402,4.72104
213857_s_at,11.0859,12.1708,11.0746,12.2002,12.3888
213858_at,6.21928,6.55971,6.01111,6.80667,7.08601
213859_x_at,7.14305,7.50873,6.12576,7.25471,7.5591
213860_x_at,11.1131,11.1272,11.4925,11.258,11.8499
213861_s_at,6.89928,7.41277,7.14471,8.39734,8.17269
213862_at,4.38174,4.75838,4.69474,4.63985,4.3056
213863_s_at,4.94004,5.0926,4.46931,4.93194,4.65843
213864_s_at,11.2079,11.3857,12.4502,11.5034,11.373
213865_at,5.1586,5.86379,5.40975,5.38962,6.81762
213866_at,6.56931,6.62561,6.53495,6.4826,6.49492
213867_x_at,14.2988,14.431,14.4593,14.359,14.4896
213868_s_at,4.88577,4.66264,4.43188,5.53869,5.18769
213869_x_at,9.14871,7.93592,10.324,8.08155,9.70103
213870_at,6.04253,6.55538,6.27351,6.80992,6.78276
213871_s_at,6.70433,6.90474,6.6341,6.85011,6.77906
213872_at,8.42204,8.9285,10.2444,8.37406,8.77822
213873_at,4.75075,4.63292,4.56001,4.6117,4.65872
213874_at,9.68265,6.20998,6.33219,6.71369,6.11318
213875_x_at,6.4991,6.94479,7.45137,6.71435,7.30911
213876_x_at,8.86116,8.87755,9.22331,8.38484,8.18073
213877_x_at,8.25364,8.83038,7.66122,7.90298,7.98428
213878_at,10.1026,8.72132,8.53651,8.93505,8.11973
213879_at,8.76745,8.96158,8.95057,7.66889,8.19664
213880_at,5.01447,4.21342,5.25166,4.19712,4.72626
213881_x_at,13.1861,13.4174,13.1011,12.7774,13.1539
213882_at,6.10144,6.41554,6.33135,7.67307,7.94557
213883_s_at,10.624,10.5896,10.5705,11.3291,11.4626
213884_s_at,6.18975,5.86191,6.0973,5.64077,5.46224
213885_at,6.47564,6.44723,6.62855,6.29079,6.46035
213887_s_at,8.18416,9.44357,8.62787,7.31977,7.94337
213888_s_at,5.98298,6.00005,8.29175,7.43345,7.86407
213889_at,6.36945,6.51749,5.43204,6.48517,6.09897
213890_x_at,13.6307,13.6719,13.927,14.1009,14.0479
213891_s_at,10.7052,9.64262,12.2421,10.3751,10.5946
213892_s_at,9.46386,11.353,9.17702,9.49307,9.29482
213893_x_at,8.19162,8.38714,8.55885,8.6086,8.79218
213894_at,6.67248,5.54941,7.90206,6.9009,6.20594
213895_at,6.14409,5.21708,7.14009,7.33827,6.34874
213896_x_at,6.49538,6.34829,4.90494,6.34008,6.58292
213897_s_at,9.84424,9.91262,8.26924,10.0845,9.48587
213898_at,4.90813,5.04007,4.90121,4.90051,4.85176
213899_at,7.71686,7.92391,8.36763,7.64449,7.40395
213900_at,7.82778,7.98495,7.35541,7.3449,7.02869
213901_x_at,8.00914,7.89791,7.59697,6.37706,6.12596
213902_at,10.2646,10.3856,9.46599,11.2666,10.2047
213903_s_at,4.97291,5.20674,4.63726,4.67825,5.00072
213904_at,4.20297,3.8583,3.77856,3.86166,3.95613
213905_x_at,10.555,10.8871,12.5271,11.5326,11.4851
213906_at,5.03829,5.52401,7.42556,6.78448,7.06847
213907_at,4.97517,4.78249,4.27279,5.88399,5.52379
213908_at,5.97411,6.75537,6.88611,6.16906,6.32215
213909_at,7.17417,6.39791,10.4412,7.00517,9.56874
213910_at,5.21837,4.57665,6.58698,4.58952,5.2322
213911_s_at,11.1455,11.669,11.5348,12.0966,12.1348
213912_at,5.95345,6.25597,4.97449,7.7264,7.37273
213913_s_at,6.21889,6.77097,5.48128,8.45046,8.05768
213914_s_at,5.42605,6.01965,6.02783,5.60465,5.41263
213915_at,5.90867,6.66278,6.98414,6.82062,7.10247
213916_at,7.74133,7.20111,7.56877,7.43241,7.85275
213917_at,6.83063,6.79017,6.78474,6.55634,6.42901
213918_s_at,8.93671,9.03317,8.87442,9.19416,9.46334
213919_at,6.14032,5.6529,5.91219,6.01248,5.8876
213920_at,4.41725,4.37744,4.46532,4.23804,6.1134
213921_at,4.76527,4.88586,4.74731,4.82422,4.71312
213922_at,4.62249,4.78353,5.31443,5.70128,5.47735
213923_at,10.3746,9.55742,9.84109,9.60288,10.4084
213924_at,6.06493,6.14139,7.48223,7.51249,7.18414
213925_at,6.33693,5.8907,6.8171,6.85755,5.98404
213926_s_at,6.11788,5.41054,5.3993,4.26519,3.99169
213927_at,6.66884,6.33435,5.91743,7.71289,8.16901
213928_s_at,4.54339,4.31549,4.23839,4.68607,4.75889
213929_at,7.65802,8.89537,6.36262,8.31048,8.13286
213930_at,6.02034,5.70803,5.69786,6.30872,5.56
213931_at,7.6905,6.60026,8.22755,8.13271,7.99794
213932_x_at,13.927,14.1408,13.8964,13.9732,13.9537
213933_at,5.14916,4.44824,5.46948,5.27174,4.99392
213934_s_at,6.52765,7.10841,6.99244,7.01613,7.04311
213935_at,6.81964,6.6721,5.96925,7.81478,7.28785
213936_x_at,11.0215,13.7332,10.7939,12.056,12.6345
213937_s_at,7.53277,8.13201,7.28578,7.49973,7.48425
213938_at,4.78582,5.0986,4.51377,4.8898,4.81826
213939_s_at,9.56987,9.56519,10.4542,8.66056,8.26854
213940_s_at,8.50308,8.028,9.27464,7.33752,7.90253
213941_x_at,13.0808,13.3745,13.4441,13.1739,13.2873
213942_at,7.19057,8.22445,8.33389,7.94472,7.50471
213943_at,5.17826,4.80913,6.07836,5.41586,6.48857
213944_x_at,9.05227,9.21902,9.09219,8.73955,8.8116
213945_s_at,5.86761,5.49482,5.91219,5.95699,6.12306
213946_s_at,4.98437,5.41506,5.43951,5.92584,5.02827
213947_s_at,7.36765,8.13335,8.30628,8.20134,9.05998
213948_x_at,4.96928,5.35411,5.09055,5.25051,5.47086
213949_s_at,5.47241,5.28168,5.25185,5.67999,5.49296
